movie_id,collection_id
862,10194
15602,11905
11862,96871
710,645
21032,11769
9273,3167
8012,91698
9598,9435
9312,9818
10530,13621
11525,12494
10634,43563
755,10924
9102,122017
10874,25638
27793,9143
9737,1489
414,120794
5894,439053
8839,8819
8068,9649
1572,157
13552,2594
9073,9328
9070,286162
1642,328073
11980,9068
10802,24729
10149,43905
9348,9887
3512,112399
50797,2317
76,1238
2292,182813
8467,96665
15789,41026
628,217704
11,1
63105,28695
527,300546
18220,48188
110,131
108,131
109,131
22586,1442
11395,53159
9059,115142
193,11557
3049,3167
9331,192492
9495,9436
888,351684
8587,94032
11596,8581
854,43072
36593,37139
11011,16799
1637,43064
8831,170452
11667,2612
75555,43941
8011,805
2758,11716
9409,162028
306,85861
11310,15016
24257,25231
1634,9328
5503,134011
2019,41268
9255,52988
16097,1596
329,328
11231,858
5550,5547
11236,46257
8850,105075
78,422837
9066,224478
771,9888
812,86027
280,528
268,120794
274,9743
10020,15301
10824,9858
25059,43058
11827,14109
8766,8917
19042,14091
954,87359
8840,169452
25087,36694
5801,158391
896,158391
8072,144146
20762,14377
11687,52888
9323,23026
532,529
10547,11666
77771,30397
627,424202
602,304378
10545,97456
9327,86028
12606,22448
10546,9436
9431,115142
10061,11584
238,23
11134,2691
38955,2691
19004,19163
10987,91361
62,4438
3529,47814
10331,26159
39448,24277
10680,10709
18660,87232
35115,1815
14821,90348
14136,12087
10869,12087
19186,2164
6878,43058
15944,29452
11224,55419
15947,27167
10948,10097
11229,35549
562,157
10163,12494
11238,86027
88,86058
8491,118221
402,86336
25750,11523
11843,937
1103,115838
11298,17422
4480,3946
4481,3946
531,529
36555,15395
11455,33071
1891,1
85,84
679,8091
429,48317
1892,1
348,8091
766,196
539,119674
525,112636
240,23
530,529
9277,330605
218,528
829,359005
765,196
105,264
8009,805
756,55427
11314,17334
89,84
8077,8091
41671,39784
27214,39784
52263,39784
33519,39784
16235,39784
11449,39784
41848,39784
8851,422193
229,218406
9529,9858
7340,257053
377,8581
794,10919
145,498
199,11557
9279,307637
17204,10563
11674,12492
1573,157
152,151
174,151
172,151
154,151
